"year","tree_name","description","species","age","region","gps","score_raw","place","cover_photo_url","tree_url","score_value","score_type","place_num","cover_photo_file","lat","lon"
2011,"Lime in Leliceni",NA,"lime (Tilia cordata)","500 years years","Leliceni, Harghita county, Romania","N 46°20'57.09'', E 25°51'5.5''","23298 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Lipa_v_Leliceni_1_06ea8be848.jpg","https://www.treeoftheyear.org/previous-years/2011/Lipa-v-Leliceni",23298,"votes",1,"photos/2011_lime_in_leliceni_Lipa-v-Leliceni.jpg",46.34919166666667,25.85152777777778
2011,"Plane in Garmen",NA,"oriental plane (Platanus orientalis)","600 years years","Garmen, Blagoevgrad region, Bulgaria","N 41°35'52.59'', E 23°47'55.6''","18374 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Platan_v_Garmen_1_caf75f7278.jpg","https://www.treeoftheyear.org/previous-years/2011/Platan-v-Garmen",18374,"votes",2,"photos/2011_plane_in_garmen_Platan-v-Garmen.jpg",41.59794166666667,23.79877777777778
2011,"Plane in Letenye",NA,"London plane (Platanus acerifolia)","500 years years","Letenye, Zala county, Hungaria","N 46°26'4.49'', E 16°43'25.1''","8836 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Platan_v_Letenye_1_f8f66365a1.jpg","https://www.treeoftheyear.org/previous-years/2011/Platan-v-Letenye",8836,"votes",3,"photos/2011_plane_in_letenye_Platan-v-Letenye.jpg",46.434580555555556,16.72363888888889
2011,"Oak in Dubinné",NA,"pedunculate oak (Quercus robur)","800 years years","Dubinné, Prešov region, Slovakia","N 49°14'44.49'', E 21°26'12.9''","3403 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_v_Dubinnem_1_926588861d.jpg","https://www.treeoftheyear.org/previous-years/2011/Dub-v-Dubinnem",3403,"votes",4,"photos/2011_oak_in_dubinn_Dub-v-Dubinnem.jpg",49.245691666666666,21.43691666666667
2011,"Hrom’s oak",NA,"pedunculate oak (Quercus robur)","440 years years","Bohuňovice, Olomouc region, Czech Republic","N 49°38'22.59'', E 17°15'8.2''","2312 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Hromuv_dub_1_f346f0cfe4.jpg","https://www.treeoftheyear.org/previous-years/2011/Hromuv-dub",2312,"votes",5,"photos/2011_hrom_s_oak_Hromuv-dub.jpg",49.639608333333335,17.252277777777778
2012,"The Old Lime Tree of Felsőmocsolád",NA,"lime (Tilia sp.)","400 years years","Felsőmocsolád, Somogy county, Hungary","N 46°34'38.7'', E 17°49'45.5''","11158 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Lipa_ve_Felsomocsoladu_1_f813658041.jpg","https://www.treeoftheyear.org/previous-years/2012/Lipa-ve-Felsomocsoladu",11158,"votes",1,"photos/2012_the_old_lime_tree_of_fels_mocsol_d_Lipa-ve-Felsomocsoladu.jpg",46.57741666666667,17.829305555555557
2012,"The Elm Tree from Căpeni (Köpec)",NA,"elm (Ulmus campestris)","300 years years","Căpeni, Harghita county, Romania","N 46°3'2.7'', E 25°34'12.5''","9812 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Jilm_v_Capeni_Kopeci_1_a3a5fc9473.jpg","https://www.treeoftheyear.org/previous-years/2012/Jilm-v-Capeni-(Kopeci)",9812,"votes",2,"photos/2012_the_elm_tree_from_c_peni_k_pec_Jilm-v-Capeni-_Kopeci_.jpg",46.050749999999994,25.570138888888888
2012,"The Wish Tree",NA,"elm (Ulmus sp.)","700 years years","Nisovo, Ruse region, Bulgaria","N 43°37'47.89'', E 26°3'41.5''","6071 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_prani_1_8e85956a3d.jpg","https://www.treeoftheyear.org/previous-years/2012/Strom-prani",6071,"votes",3,"photos/2012_the_wish_tree_Strom-prani.jpg",43.62996944444445,26.06152777777778
2012,"Lime Tree in Lipany",NA,"lime (Tilia cordata Miller)","320 years years","Šariš, Prešov region, Slovakia","N 49°9'15.01'', E 20°57'44.71''","5591 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Lipa_v_Lipanech_1_523c882b7a.jpg","https://www.treeoftheyear.org/previous-years/2012/Lipa-v-Lipanech",5591,"votes",4,"photos/2012_lime_tree_in_lipany_Lipa-v-Lipanech.jpg",49.15416944444444,20.962419444444443
2012,"The Oak Grot in Dęblin",NA,"pedunculate oak (Quercus robur)","over200 years","Dęblin, Lublin voivodship, Poland","N 51°33'9.29'', E 21°50'25.69''","3685 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_Grot_v_Debline_1_cf1db4c4ad.jpg","https://www.treeoftheyear.org/previous-years/2012/Dub-Grot-v-Debline",3685,"votes",5,"photos/2012_the_oak_grot_in_d_blin_Dub-Grot-v-Debline.jpg",51.55258055555555,21.840469444444444
2012,"Alley in Skalička",NA,"pedunculate oaks and limes (Quercus robur, Tilia sp.)","from100to400 years","Skalička, Olomouc region, Czech Republic","N 49°31'5.25'', E 17°47'54.1''","2976 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Alej_ve_Skalicce_1_14f8789951.jpg","https://www.treeoftheyear.org/previous-years/2012/Alej-ve-Skalicce",2976,"votes",6,"photos/2012_alley_in_skali_ka_Alej-ve-Skalicce.jpg",49.518125,17.798361111111113
2012,"Pistacia in Ghisonaccia (Haute-Corse)",NA,"pistacia (Pistacia lentiscus)","800-1000 years","Ghisonaccia, Corsica, France","N 42°2'27.2'', E 9°22'31.19''","2056 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Pistacie_v_Ghisonaccii_na_Korsice_1_fbd8d30129.jpg","https://www.treeoftheyear.org/previous-years/2012/Pistacie-v-Ghisonaccii-na-Korsice",2056,"votes",7,"photos/2012_pistacia_in_ghisonaccia_haute_corse_Pistacie-v-Ghisonaccii-na-Korsice.jpg",42.04088888888889,9.375330555555555
